book	chapter	ms	bytes	sha256
GEN	1	304992	2440694	c95778f1cd34b751175135dedb62367d8d6faa69364c3a852ec3ac4777902e53
GEN	2	218280	1747091	16fc0d1a0ca905d9bc4d081ed5abad16ff84d33acdfd0f5f9c0806f6618bc1c3
GEN	3	246576	1973416	a86ebb38e859df93d6b45b7846c30867833f25a8bae309697221aae39a3f3854
GEN	4	256752	2054709	2926f05cb0e2c25ea254297d10f2a9e2edcba76f7cbcd5d905501c811703b358
GEN	5	235848	1887525	61bd67e5e2e9eca91fd9c7e286e603a0d07e23c398a97980d0ebbb93fe321ddf
GEN	6	206520	1652841	4b22075d92674354c1100cde64cc480d869898f195ec376b3e01868e15ce72ff
GEN	7	206064	1649288	e98ac7ac73a72dd25bbd10afa628b160a7b1555725545a04b1cbd6c4d54685e6
GEN	8	200616	1605612	8639d3e11e1673c5443515e3eb68a813db0040ec8c8cd631abff5f602b728374
GEN	9	250104	2001628	b5e10ffe3a40ac812d9d061b35d7773323d34b6fbf1557a5026b0626e0ff2832
GEN	10	220248	1762766	846fe4b01262bebeb684bae9940a944c39a3be9fc80ecd1bc989331488e43a55
GEN	11	258072	2065369	24d5836e5955d162ed7132c3fe1c7070a85cb028ebda6f3410f4c0632d00ec68
GEN	12	174192	1394335	6357840678c74d2297adae81e1c53d300b55b0bb52515cd31f0fd4182a3d89cb
GEN	13	158280	1267067	bd91531ee5baf522c94c0b29768195aea7ae92733ed3f2c600ecd5d54d7176d2
GEN	14	224184	1794322	f6a7f48c5e713c0c966bee0a72560cf33743f7d5f8618d8838db3d360d12c844
GEN	15	182760	1462881	c055a1449ea1f56db81c8ba90a17dd081bfe8098f7a91e27d4cf86aeff2ad7e2
GEN	16	161976	1296533	64b33dfbd7125dc238f543980e762f5b6f7acffaee72717e6ec9981c565ca717
GEN	17	257736	2062652	a39b93f439a3016ca3cca35bc9665106b9e65b96ccd44c4cde7695410ad40ea8
GEN	18	316704	2534319	c52adb7cf142a43c28a3693b3bd30bd91f810bced71469057151c4845f597c00
GEN	19	358656	2869940	d8513575b650ab38c2cfab04018ce4768189ac2240059f952282ac74db81e28a
GEN	20	181104	1449506	ecf9a51a0c90acf02571a4efde497958d501ef00944441edc790a57d9c502a3d
GEN	21	262176	2098179	0f6aa2d9b2b0253806b4e24404dab98630c6c1888a28690e9df1ee227cbad853
GEN	22	235056	1881258	134be1cc97130de6a61d012e669bcf4d7befcc94f9d78fd982ad42d1d2b14e8c
GEN	23	154968	1240526	7c56ce3be08e3f091d90e4341d7ea8f1b65cb16adf5abcd04e6a6a2d3072dbc8
GEN	24	581352	4651491	590ed52fa465e530ff1f1c8e898602ada700044e6a6710e389ee36958b4cac2b
GEN	25	263928	2112180	b2de7595dfa60e5cae6eaa5448a7089b89b8e97f83a529b77e7e942f24d667f1
GEN	26	301872	2415828	1395c02d6da43989384f01c7b44bd7c78d4ce3ad62f4ff585cad81feee737caa
GEN	27	413664	3310051	7d9edf9197b304c79d0b06cb02aef7c19d2e353441a91e0338d763911a6bdb6f
GEN	28	200136	1601852	ce255b39076dd207f0ce9c2082e8908756c62f3131b511919a733a2d8836136f
GEN	29	283752	2270796	0589ea2d703ba4ee33dd72215ae34ca547bfe846f2400ebb48e0fd8fc9f260dd
GEN	30	357264	2858864	46eea3aa8dc0a72975771b262f273d03db31e237fa9ca99db2b179d33cb9a4d7
