book	chapter	ms	bytes	sha256
GEN	1	342864	2743864	7832691a8184a62fb73515344bca36815c980eb4ab7d56813e03e03486b7d981
GEN	2	277128	2217862	da72dc1cc65d543f10b552ad63256cb4d5e6ff186cd1d850aa1e0b105f16ffdd
GEN	3	283848	2271779	895dded7d2c17e9b05ec947b7335e7933a97c887ca585b7f1321d44fa368fb31
GEN	4	292800	2343250	9ffcd27525a65bb77378b9270a90ae32cfce4c8d097e0fbf12a41ddf4637fecd
GEN	5	232368	1859880	649bac933ec79ce3de022589b8446b755249a5076ecb0774d2643edfea5dd385
GEN	6	262872	2103968	3b18715dfc30a4fbaaf5810c9e94743b6e75169892034cbb1a4e855300001631
GEN	7	248040	1985268	ebf39c4068f20d52a20128b497bf741cbbad5454a8bc516aa8f245933005f916
GEN	8	242496	1940964	014e461f3d56133018cc5537c718ba4a35a47702425d1a13c07ef61edcd48029
GEN	9	285912	2288288	dc1423ccd07e818e8e7d0815ab67bf529457d182ddc6f8e7100ff06fa4b1b7ab
GEN	10	289008	2312951	40b4539268bfdebbb3e1fc985ac88876d1a7ab1b1e4fce336e6d119318509942
GEN	11	314856	2519840	f7915616c622f8a8d5ac2c4ee365181688dd9fcc8fd71591286a2346b459e586
GEN	12	251256	2010975	240ce1771ba260b8ae4602d5ddfb473bc43122dbc2463d3ba2b622a5adb824b8
GEN	13	215208	1722583	6305cf576fb4eadf1477149e74a78f3744b2fb9e419e840c75bac07b125790f4
GEN	14	324816	2599462	74094ca20267cba0ffd17f60cd7885c9803b250cda51ed9f85b8641174590a23
GEN	15	227304	1819341	ea85e7bed48aeca108088d4199645cc6df5e1022db4e569bce23d3a2868502e9
GEN	16	215688	1726345	893c91b35b9f9537a01f370ae3b7f8023dcb308a794c1c133720d32685c689d2
GEN	17	331752	2654841	15b5c007bcc79cb581e9cb7b2089d83a7e9d8b4a2f290c606100ebfc1bc1cf3c
GEN	18	382848	3063605	073eb111dd71717722990803a65a125cbf32f9dd4c8dc544df46f1dd1e49bf70
GEN	19	468048	3745297	6c1dd6aa5ad5ac08e815e00f149f85a764d6345a8eb1bbf8cb3d0e6f38dec9c7
GEN	20	239712	1918606	d7e63cb4c0fdfb57d36deb7954d60d0b8ba9a2977d2b7439a1c7ad889f1f340e
GEN	21	344136	2753898	de3275997e620cbd1d51d77eafd8ec2159a16266f85d7bde9e4af4c0d8be06de
GEN	22	300456	2404484	96209baa365a9bca3d443ca49691464fb0de3686d77baede44bd1377b5dc058e
GEN	23	234552	1877228	67a0173deef3ccd323223bccf40a902bf2a7911e95492554dc9d2c92ebc3289e
GEN	24	757344	6059746	dad07bedd9495de5e39c3b2717d76acf3f5d5153af666763fe62d168d1b5bc38
GEN	25	344544	2757241	d9ce39c1de48e464016d8773b02cb5d38e3d048e2487bf30ffa8adc81386c567
GEN	26	353376	2827876	275d526f6850576c7fad9cf73db8df22539ccf2ec9496d24387808824f75a58e
GEN	27	515448	4124386	6797a4357c2d3cd561fcca0304ee7691c4d18589e1e1dad988e89635977d5d3c
GEN	28	240600	1925712	68e5563526675eeb0d575d24a4d831f938e606221763e8c477f996212caa1793
GEN	29	343320	2747419	3029e3ef8fe11650fba7d6cee7a9f1ea22e9c59ba6b9709f21bb4fcfdb6ba28b
GEN	30	416400	3332144	daa3e5aaf267ff40f72aafb2b1365be29328a62488e4c29ba9db7228c57681b6
GEN	31	606192	4850381	6755c4d80a0c71266ebce77f1fbccac4de2c356271524c9f1542a026da6e20ba
GEN	32	344136	2753898	43fd9d441dedef68b843ce10a2cdcb62e7b3be18d1f50210700ced56731c24bd
GEN	33	219432	1756438	fca487d2e61600f5f5905a7e82e3339d73d54dab03c5e74df66ba4c5f7c2093b
GEN	34	352080	2817636	68eb50f367af51a66c170207dfc06b919c7c2fee798cfe58581a7db3caca0a22
GEN	35	302592	2421620	5cbe589c5108f2ebf9e6f32cc869ef2f104704da302a5988160a78a74d209f18
GEN	36	399264	3195054	7002352a0b6b3807dca4d0002bcbc70aae3ed5de95c9c7884f933041e4ff2347
GEN	37	383856	3071756	bf834904d2290f916ad2fb040bf521d7aea0e399fd572093c4fbafc21f3973b1
GEN	38	312816	2503331	b3bb0a219fede6a6b0b37e4f3573cabf091a666907309da6db760ad7659d0202
GEN	39	234024	1873049	3fdd0589ba396ec10413ab239d9bec1e329307cd94980129b74c02699b1ec9d2
