book	chapter	ms	bytes	sha256
GEN	1	293016	2344825	b0bb20569ba083c66eccddd649247bb793de91ee1f569f7c96e074a308ba18e9
GEN	2	210599	1685494	1f0f04c7ab0eeeaf78fef75bd7347e7e461a2b1c7e92acf3a6ddfe3eaab7a840
GEN	3	257019	2056851	19d09b80b60fdefc189aa8e2a9ad3ea5f18728167e785afaadea03cce248c07b
GEN	4	251429	2012129	a5109e6bdd789cd7e9e2c8215e7b280d32839927d40b16ea2239c6a96e6fcf8a
GEN	5	206838	1655401	992e9de3ab684b3184d324199ff7e181b2363f7bb33f16e4c03deb489df4cb64
GEN	6	237976	1904505	41644c2d43ace83d31d990b468bf34d24b5f7f83675ac7a39bb37c22952f8cc9
GEN	7	225620	1805657	d104f95ea2835531e128bb46ed78d992ad0e4ffd24419d3d84d992a5e6e48ca9
GEN	8	215771	1726872	85022ac7d0aa29172ce83e6c7d51f3f88facfda1f8de6ca9fc03c56148034988
GEN	9	247092	1977438	0eae13ceda8ffe361ae9fa13b2dd1c8441f0d4ca339131f261ae0e88f74c0542
GEN	10	238158	1905969	e22616f1237a156ea24e337f01d8b29f61f385c5e6ccba7ed22071ac793c1105
GEN	11	244532	1956960	ddb837e7c6a487700db8addbd68cf8d513b3bec002054ccfd6b01e5e25e45bb6
GEN	12	208222	1666479	749b9bb7ef1f22b3bbfd949fea3cec9206fed4d14ae4470a21610b38fb5295d4
GEN	13	174811	1399194	3bd980276d702207c19b24f8dc68bdd5e87c93b630c6d677aedc3a1583dd4982
GEN	14	239621	1917672	7b05fd7081b3c134ad7c02e3f84690f8718accb9ab582056999fdfc9eec78117
GEN	15	197042	1577036	665af42319aedc7448c57de8f66cc780cbcbf9c7aaf73c5715c7cda0da1a0330
GEN	16	182622	1461679	2c89e8b5a29d0c41956a97dc1390841265c9e4c36a0f3865071bd3aefcaed681
GEN	17	264229	2114531	cb0db3ce7172df9d2cb39c43b95276537fc89222d9ae131a330e2e83bbba75fe
GEN	18	349388	2795805	0ba201169b1ab672a1686c0becdb5ab4ce732894a1c1c46bebfa3e4ee063ae3b
GEN	19	416340	3331419	b27f3305e5b9baa58c5e8b70343bb6b74a97d01af02f7c330a0b8e583816fa8b
GEN	20	212036	1696990	bbe13422c4287a2b166e847a5988f0537641369ea3f0805fc49fe1c365d53927
GEN	21	311092	2489440	f41ec37849b4ca7320ab9b5c4a32b33cb78ebdedfa33c108a99b3ec14857b1d5
GEN	22	255478	2044523	16fcd2b8807af4bdade10622b08bb5a868ac299b9b255ac2c74faf3038fcd952
GEN	23	197277	1578916	2f96455d9c1c085d970fb83bf5eb996063ea28ba5257dba01f5aaefe5eb56164
GEN	24	668003	5344729	b2d5808af63dbc4bc4b5679f1bf2945c2fb2236c4eb8bd7a04ee2b40b98dea28
GEN	25	298684	2390175	d0268ad5b39ef6f637637c5c8a0b89793f4bf52ae27363d753a619edaf570ea5
GEN	26	341708	2734365	39f2b438f249aea8ab3239d4679e7477ed70cb071cccbd20047fbb720df1feea
GEN	27	507298	4059086	cac2e4f7c4ff6472401e155637048901872cf03c0eb14f1b3dfeb41f1e9d775a
GEN	28	241868	1935645	1f18c2ab4051f5d5574790f6294e16105288c2f5c5ea7f421263d3ee70528e79
GEN	29	324598	2597483	c58d7c60128242e3299771b27b34fd2228ed69a9090e300271628b023150a858
GEN	30	409417	3276040	9974978f68d520d2bd624ef45c66f91731d50c622feb1ab9a1b0c8f94097620f
GEN	31	545672	4366077	cbcefc2a78f1e629b74aa27dfc6336807b40e4f6c40b4f6daac5eabec75ae844
GEN	32	326818	2615246	3d643de4ab87fcb52b24578895fe99ea8800698358f3e3f6b5c1bdc6fbfa663c
GEN	33	202867	1623638	3f5ca05ee26eeb0757c0af2525f6dcac915cc5469952109accdfed49940d422b
GEN	34	296438	2372203	6733df3c0e671dde5c1d9429cc7f0cbe1784879fd14c76537cddbe10db1423dd
GEN	35	273502	2188719	67a6b7d1a64e71f1fd9f359807350d8a87d9f46a452e34727cd0c5075a2f94d3
GEN	36	373891	2991827	183aebeed85d48f1601efb993e3637b6d5dc0c6d88d7b2d533d983115e3f44df
GEN	37	368483	2948569	7835a9d2838f2d9e8e017a5e039a15fe7f8c204dcb3e4b79f77633858743c3d9
GEN	38	310831	2487351	94383aed1336768cebcb0dd5d74694a2bf4c3d3c5f70c88c5381124c661605b1
GEN	39	229799	1839096	e7e4b235140b2c18dff74d3516471a3aa90c38876a60392127bacf85da6dafbf
GEN	40	223373	1787687	3dd2bf4242d6822a6b1a42afca56e945aed914c9f2b634480ab0dd86f686bf18
GEN	41	523442	4188236	b1a83e9c3704b16d4408545cafbcdf102d3fbe1462cbd61b222206894c8f6ef7
GEN	42	366576	2933313	9f9395e641d3d253d40c9ecbef5f80b663540965355ede04a6a6b654fb0ad137
GEN	43	345940	2768219	ed139c10348b547788692888e9d3ff39c8da3b2c287ab2814886cbe94478e406
GEN	44	321829	2575331	e67f8bac713d72fbc74110e4b9bd6fda2f65c6cc76653c91427bac536cae7c0f
GEN	45	273763	2190809	f4043808092f250e0b39cae2dc7f14e2cfeb95f845435b66bae855e14e1a42f9
GEN	46	329169	2634054	1ee09f9980bd7a25e23d2a42eb7ea469cb85ba0314a8ba16ad7b6ef5d4505e49
GEN	47	350485	2804582	b485182bae9e19b889d370952266358f025e6570caa8e269ebeb65564b108cff
GEN	48	244010	1952781	f2c6f5a55e2408e8f7b8903515fea2b403e593b7ad6c7d7ca12a92592934b68b
GEN	49	309760	2478782	d4a069273a7b8cc50e481375765b1a5a38847689249da7c96542157a1369acd3
GEN	50	263393	2107844	d517948d5f6992a319e824c49848a445cbf1d166647dfc0ddd4be3aaefb874bb
EXO	1	189179	1514130	fe2ec42a4f183de7eab7f6cf677179c2c12a562a592f00108114e522c7a34629
EXO	2	226403	1811926	bc09a17408a3fad1f0b172c08aae96baf60ca6a884e889eeddaabe8031264188
EXO	3	289384	2315775	85e885d2002dc74f18097929f080cb979c825981b91f43f7391c096b82a0379f
EXO	4	335099	2681490	dd490492971eaf40da79c2e58315c24b516e0c1f06fc296236515b0aab7b0602
EXO	5	225881	1807746	5c804ce409aad0ba6c403729879c678eff0f2ac04dfe62ae08ccc3329a4f9ca3
EXO	6	315611	2525591	0ef09ee25d210443bb4edc9a5e8ab5890795ddbe787ad304749154953bc44feb
EXO	7	257437	2060193	93397a21728ff5f39032164b77570b47772e6db839d46ceef49e9eabe8acef0d
EXO	8	337607	2701552	c912ac280d7441725a9d3f3397f14f5c3bbb23b24daae8018a6bd290ca33174f
EXO	9	346331	2771351	bbe152513519ef1e570fdce7d7ec31021a021146adb5b12fc9955428015da672
EXO	10	331964	2656414	7aa6c037691f6d3837cae0f287ccb7177a996610bb865857983dff9a5e09a7ec
EXO	11	115696	926272	e8c97e8dc5dd321adbc34500c8a38525ce122eabf181296406508ee73ddf821d
EXO	12	500245	4002661	78f4865c7b81d9a198615ab86db66a67abf67f2e11ebbe645ba450749763eba2
EXO	13	235729	1886533	386efec7b58f97d9bef85bf097d8da56433de5ff5ab387f35d26597d6f39598e
EXO	14	333322	2667281	08eb06b26663cc186d5637a434c4218e264ef8ff51daa402625fdbce5e1553e2
EXO	15	277525	2220901	dd17703dd544b479d9581fef821c82f6661ccb324c6c5687ae5477a795abecfe
EXO	16	374256	2994752	41018281f6b0ff6f4c436d051bd42bf469d1b1eda182f42656d38a7a4204d09b
EXO	17	179670	1438063	92aa3001cd802b3d04ae311d95ba4817f5c23a4d22a5d6680d8a16062b4a6ad3
EXO	18	276480	2212541	069e91cf35497328da1bad1946f19172bf3200ca67dd5cd344f39b7727365a2b
EXO	19	260989	2088617	3dea65a06466612b0f6aaccfee65c863e33c39e7759ef01c7f667f19b924dd2d
EXO	20	219272	1754876	3e605c63097770d933408aab39b361887ca1b539a06cb6c0cc95bc1d7ddedf29
EXO	21	321620	2573658	ea1f849fc4dce9c5f6dffb8d6cae597d78fcc266ab75287ec4c00fe99641554b
EXO	22	286798	2295088	5823e8101a331e886251de896fa9037513f2b48e03229686d18232e4f40e4171
EXO	23	301453	2412326	9f7ccdf1d63048a7cf0c465c6ffd52a7c7f8db2344dc8ac74d6af776895eb9e0
EXO	24	177685	1422181	6f89c860835f52fe3150b033d66d5c7601f92214bb2ea4ab7a0023724ecc64c5
EXO	25	334393	2675849	3238c7191790f7c4bb0ed436aebd5c07b1266426a6762cd4649258ee14d2088b
EXO	26	337998	2704688	9766278fc79fea360393d9cf275ade5931322d92531067c2b1460f2763910d1a
EXO	27	207909	1663970	8e52aa251d1d6209d080851701ceadaea7ee083ff13e46bdb3d614f9c526e526
EXO	28	470988	3768604	f4a3423aeb6e4a5e02bf63bee992fe3265139948d2d2604106f84758fca74611
EXO	29	474776	3798906	58fbb6d445772ee4035516c3da38e66e8fccf23dc2e328f728c99c1ca2c456e3
EXO	30	364016	2912832	659167f1e41c54a52888a2c29b5b0b5752fbefc6fdd1e1b1f7b0c8a1e07e72e8
EXO	31	166165	1330021	74649afcfcc8de01c68e1e36de2c423566fd5a5dd449fae1449e190f39044c9b
EXO	32	399909	3199970	39aa110ab58267869910f4b812eede931aa1955b021659b9b8ac7333618d7a36
EXO	33	252604	2021534	e8e59a2af14cbcd24eb2b214f4d12fb4d770d848c1d68523a2f0ce28582f98aa
EXO	34	378175	3026099	fd66cb718182118239951b7191e9e4660e6edaaad6c5a3db1d78f513918a3df2
EXO	35	314462	2516398	767c0eec3caa9e723e93ca69ffb1d72543a0667d3883585718c4d95123264b9d
EXO	36	316918	2536042	9a65186e70770d7c172e3219d379a849d065d521db8839cf7a3c30ddcd2b08f2
EXO	37	257202	2058315	1459e9abf5869c5cd7bc607c7cce380fed83922fda644d44d3ff8e2f11407669
EXO	38	301375	2411699	d595efe5f4d993f529d31b39abc58be40c6e62d9c45b801ac66abd855a7915cb
EXO	39	381518	3052848	3f7d5858d5a214d1b389418a8eda8f44d63d047c126c0e47f6f3bee5c5dde44d
EXO	40	294609	2357573	c749899a5950314d4f374df322551ff8d48074032b326e17c11cc16d46f3e3a0
LEV	1	185678	1486129	3378337c49c39283b3f297f3f999afef160a17450fb19bdecb9c9fb56bf4f1fe
LEV	2	170344	1363458	27a1bd0d3ca27558a012d1bf121fa502dc9a75b9bdf2a4e15647a23ccfed1dca
LEV	3	168699	1350293	ed5a5a373cf0a0258ec1c1c94720308dd25eef1a403506d715e310a703c0b091
LEV	4	376842	3015442	9bc05ced4804048c833ef81d5c0b4bf36536bb15077a922723efc36a4a097aaf
LEV	5	240771	1926867	e3c5a42fc218674e5cca7b01145db6e418eb082ed2dc78ae89e1875d634a1a47
LEV	6	298371	2387667	532e05493246c13ebaa2e2de670e1617a771d9419539a42adf1db148bc53046b
LEV	7	358348	2867485	0a8631a130f0480c0aa4ba7c7d47d083eb5185065fd6b01b65c2fb1bafc7fc0b
LEV	8	329639	2637816	3f24ed52832539b30b1c6660444248972f70f84fbeb5e0ca815907a15271a865
LEV	9	204852	1639520	461562f4279b74d48e77c7ac2df43f4edbd1ef7805948bc7b6ede8bf954ca688
LEV	10	223086	1785390	9ab7f5b804b5bfb7a07a3188e2c56be064226e51e47eec83afae82c37f9ffcb9
LEV	11	399961	3200391	5a1b1530be3261e795ed9b20a99eafed7b786a0b043e81c68114448ab3a7ed53
LEV	12	91429	732133	9c6ca82c380fcad825a05b7e49ae751d5c34523a23e765eb46d3929c61888c1b
LEV	13	608653	4869929	940761132b4d97f1bc7d91f6e2a9688ab87f58bae051316d294247ee595dedc7
LEV	14	526759	4214778	8fbec6ee0cc2b1f79b95f330c869756c0aa0ae0dd2f787525626ffdfa3cbd6e7
LEV	15	321672	2574079	3568696cb3e460c36967473a963b378ccaf630ade11c1a63923413708b44ebd7
LEV	16	375092	3001442	447fcdc96268b13c336bf654768124b51f3e578bf423d31371067714c812f621
LEV	17	198949	1592293	2085cb55d4376afdbfac1f2f9d689a3db572557b7be88f91292f16f65d78decc
LEV	18	258273	2066886	ec0a301d5e0b1aac712ff9fb34266959b36f2923e08fb1f8528766616818cfb5
LEV	19	346671	2774073	46dc5e89ff9915e0afa6ed62c04a766044e8d255e12fe5d81edf3b0e62849679
LEV	20	304405	2435944	b86c739e0ae2cfa601dae481de557a8b6c9a8b9e125f198da2b81b0208ec1709
LEV	21	216294	1731056	d2fda9dfbe577c5ddd9e101b143c69b558cd412fe62a6eabc6e3f14c90723ebd
LEV	22	311928	2496130	06d6baab84a2233edf8a1b0f87787bc667055a67a05f0db9e68da76c9bbbabaf
LEV	23	449541	3597034	de11d787000ef7c4ceec1565fdb453fd551d3c9dbde7a9ce8e0e3e8d947df995
LEV	24	201378	1611728	3365d90362101d249cd79a02437fe3668e875476e498d0c18ddb75296c0e37d8
LEV	25	517747	4142680	921896355d2ca3832b828161f0b1ab45f1ca489f8b75bab0a8ab251257bdb5aa
LEV	26	440581	3525354	9a7449c82afb453c475e41a759d41ea90d225319275ba157f1a121ff6081f215
LEV	27	337894	2703856	967692a3b8e2b7ffb6878eaaf97ab454363189bb89368682fbb4ae3ef2f58138
NUM	1	495020	3960864	7af64bd4e5c77a7877cdd44d1dfa3976682b6e28de6c7223d9b8ffc0ec774e7f
NUM	2	305659	2445971	7360df58af5ca21e0e2790f9aade6235e290f770bb465fb98d2a591dba0a9ef6
NUM	3	467069	3737256	39d01a615f17840385086cee83ae674fc63b6deb175b3e87aa952a51078ee582
NUM	4	485930	3888139	7489a3689baa1b837756139650b69bab579faa8658b2b3a030c59b36274cd16d
NUM	5	327471	2620469	1de6bd57ed5b1ff22843e43413485a01949c2815eee6a6a001a1fc8f6d2e1802
NUM	6	258351	2067509	f2e6b109a29e6d7d4cff84ab4ed0ba10ceeabf37b0b4bb52a3619e088af60623
NUM	7	715154	5721935	6814bd4f05996be41bb99f2d4ecd896bd0544532a571f6eb555a07e247bc02c3
NUM	8	248033	1984962	a94cef19e09f0ce6a04bf44b87438517067efec1763c4e559cfd3239a6ea7bf2
NUM	9	254877	2039714	27628f96e87eab44b4ed8fec119635cab403e6eb9b3da78b8d27e1681742eab4
NUM	10	298057	2385160	171d880e176d5c2cf7f4a302176cb3187ea9ac0a00c2178763fbda4c5c7be94e
