book	chapter	ms	bytes	sha256
GEN	1	344568	2757839	72014b5818a1d8139716d53e4030b30a33eb54ee4b31be1617dc7833fb167c87
GEN	2	277968	2224941	9f76e21454a7591b9468f8e964804eb2b5d3b3000b1c6ab71f42b800a9a8e117
GEN	3	285168	2282620	72645c7e4535d3a6291e72570a0e31101bad105c330c00097368eca1fc8686ec
GEN	4	294360	2356181	4c120002522d54f1be72d20e25e61d5cf8ed5676a6ae858db46f39439d42b514
GEN	5	233424	1868631	d378d54d415ae8c550a064ad43efa28478edd73f4f688675ac622f1d5ea5f068
GEN	6	263832	2111883	6accae0de251f41469dc0653f266e99e519d8afcf2b8a377b4005a08bcacc14c
GEN	7	249384	1996318	6a01e3418bd6c4c256ae0a7e7548de27c134eaab6bd2e606fc6abe780c290965
GEN	8	243985	1953268	16572685f8f3d890b5c2d7d8cebac87c872d96a6c7e7c106e23010b220f7e014
GEN	9	287304	2299756	c682eea6046424ebdd35cd861495d2cab3a3b4904f5afb30f224cba017d4557e
GEN	10	290448	2324837	5759022a30ba159a6362ccc5b2fc5c1954f9004c3ba7cb2d4683dce886b5539a
GEN	11	315672	2526711	2f8b8eccd193efd2c746bcf9bae79c7dc49bc3a5f6e83c09a5bfde2f44b88811
GEN	12	252120	2018264	a858346ab0bfb7eec7c883405fe60e01399a61e01391a0ed9474f3237f829a47
GEN	13	216504	1733424	6c197b743d2b48dde52a1a070f54f12015236a0a2f901e2c7225556629776b10
GEN	14	325728	2607168	b8ce0748c10d45277e36d600d1767d16feb1de18faa8455dfd1263640656ffce
GEN	15	228720	1831018	9c16504f8b9501fdaf21d7d1635b9e84f1eb8d6d2018ae033ea2b65ccb6de958
GEN	16	216504	1733424	b92e04ccf9ca639734f9bed4b11b4ebd7165c82e1f65f3c7b8de071513a17638
GEN	17	332976	2665055	8567045060c05ea8a565f84953665625b378c106a3ff8701228c58c22fdb219e
GEN	18	384312	3075700	9f2246849180e13102d3306c566e65950cd4e20b2538f3ef833ded8d7a4b3e28
GEN	19	469776	3759481	845de260ef755c657207f3eb6137aa09aa16b5f1ea0bb54beb79e7c56c5f2f19
GEN	20	240672	1926730	b51e617fb521258739db86c188477d6d517e5bbcde69fe48109f4afcd3d5e915
GEN	21	344904	2760559	566b6458138207d2640576032e3f36e8f0dbf0463752413a920b6121a1126fbb
GEN	22	301896	2416370	9b9db385088217c36dae57b2689d5beaac802c6b276d74e60219e93ee92049a0
GEN	23	236064	1889741	7dc4f1e088cba09ebecbd16b88ce2001b0d767fa08014469874994f080f351b9
GEN	24	758400	6068497	39394fc2b2966206d09ee485cf6d536a614cd18ee88f30abe6ac0e9c2d331f43
GEN	25	345456	2764948	e18b35a8a98df8cca8c0a7e50b7ed582241c520a6209666dd0ad2e0f2f94dbe9
GEN	26	354048	2833702	9a6f6efee4d48c2bd2881a573838301274c93b9427a7ca7751e73ca5f68c8acb
GEN	27	516432	4132719	de90f811060a461df54e170b80edb94aad394d7ec200bc6aa7578396900c921d
GEN	28	241512	1933418	10855270b6b605fc3c683f184649fa5e77f6cca6c68f3ad326eec09a74000732
GEN	29	344304	2755752	c3aa45e854b522f3235d48a3808c16838b63efd0426c79098660ae360678cbb5
GEN	30	417504	3341313	44e2d04aa6cadcb5e00df20c1310e0fdbdc392e0c730ba4da4587bad59161bfb
GEN	31	607392	4860386	f098db1c4d6c75ef0acbe3994b31e4df8360495f51b1a634feaabb9eb3605890
GEN	32	345360	2764112	2dea5ee4b8d98fdff73b171175f8537c6524277408db4e556de402b1f67f91a7
GEN	33	220176	1762681	a8cb358df49dbc56291b7e37a4df9616c9bc1a329c758ad0b044a1ba7295d99a
GEN	34	353136	2826388	807726b2a91259a798eb8b76b2ab223ecab79c4a32f5c33cc3424655f9c29426
GEN	35	303768	2431416	5e77154661e8832f8dd473098358cc62b0413c0365e519d3b8bdec8a24ccb599
GEN	36	400632	3206312	595e2637ddbb60a7b55da6ce812093e0cfb8b1fe77bf94197bea4f4376868ae5
GEN	37	383880	3072357	8c18ea4eeb4b21609c84c33b5f0c75504cafe80d64674130aeab3fe0eed32578
GEN	38	312696	2502887	b641cb648dc0f42626a695761ad803c278ff253d9991a5f07079989ef40da86c
GEN	39	235104	1882218	92321fc25c9475bce7717f12f01eef0da9b6192e1980b6c4482b1466745b64ec
GEN	40	232392	1860484	8142865701088c6c139b976346099eab116c480bfd23cc2ceb2b3228d80a8da5
GEN	41	566496	4533333	c93080ab35629478b188d1cb52c3188dbd2645fc54b2878935a2863bcc0488b7
GEN	42	409128	3274231	04c94f24e8eb56dba8c0a92cb558b420a441bdd8b2cf9999c159419ea8751af0
GEN	43	440952	3528977	8485701e4c5221309a81a6cf422e53d428a772fe43c7d49eb509f11faf127178
GEN	44	412248	3299308	a3f8a0f2f74c15b44317ee1ec71d661a748c2b6698953cbe83607debc6073e65
GEN	45	345576	2765992	7b8fa79831738ba3a0b143f97bc1de2f0f11c1ce767063f7f0819e9af2e82a6a
GEN	46	372000	2977271	58503ed1e84e86b08912cbffa2dba22abcf410441febd9017f443baaff0afe75
GEN	47	432048	3457715	ca77bc7ce244efd5776d3c8cd4d232cde49761ce8ed16130a91b79b3557c0ea0
GEN	48	295056	2361826	ce0c36812a942d920f8b4abf259acb4feeb13c8b8b3e181a049f839ec748f94f
GEN	49	355056	2841643	584b8b2afd12ea387c174e59fe056d8bb7d90e3519788dcfb1ac4a335bfdbff7
