book	chapter	ms	bytes	sha256
GEN	1	469081	3753361	9bf891bb22e8858a6e95d8a2a2e988d133c8b67f4566efc2f08f1f2817dfe6fd
GEN	2	293904	2351944	2c03b0701dedc916e1e97e15248410481124ccc45be7eb8d87d24a2c1e3627aa
GEN	3	321646	2573880	f1c86a50f73a164ecc0768becece270d27a2aca8286af36523b08acd57f91ffe
GEN	4	316264	2530830	cb1607f16c36019f613f27161ab73bd521e3378d0f56ff34371e40e5a4b2fa4b
GEN	5	283220	2266471	d71235075b7fc0fe4661c97e6a157574a1450dabb5b43365519c4a7b79bc8860
GEN	6	269923	2160101	9d5e9b24f940c11f1331e46f45e7de5730291d7f04e24712acb3fa2fc7f23a0e
GEN	7	262609	2101586	d6061ab5b90a2ce9f21926ee5b97eb91b74f614a7c354133a7913d10a8df40ea
GEN	8	270681	2166161	3f5e80b45cf3c92d736040175029f3407fa48910c7d3e2fa8c65500e7baf7025
GEN	9	326792	2615049	2a6e3b184edc1ee28b1c547aeab8b7c1bb7b9a9c320702da6be722720a21d796
GEN	10	339958	2720377	58608ea1aff62ebc821b4a5cedc81c0ce228f03a37b2ed2cdba0de1265a75545
GEN	11	326008	2608782	3eb0be1bf963f9126b12cd4167c93b5af67fa02377c6c93c9698dc75aae62c68
GEN	12	237897	1903894	0e112671282c264c28a2d6a2ce4b9507c1f3aeda4f01eb88df22b6b8c19d33e0
GEN	13	214335	1715394	f0ab04cfc66bcd894da3745348d464425219efc95fe8610cba879791edd7ba3b
GEN	14	302498	2420700	32b812e8a7df690d8a8c9572ba61612fcdf2a378928bb4aaecbe95fce8955c8c
GEN	15	234789	1879025	acd9266459dd9b1e3092a67b0f20a7a50a8ddcfb8d982ed7ef229b67692f3be4
GEN	16	208196	1666284	a9b2eb0f1f5d0d16988f31dacc9d0908dccd9c6c39875cca48014a7e75663176
GEN	17	356415	2852034	b8034e923e1d88c58da4219eb6f1dfe784023388899303e15c2d08e8449cedbb
GEN	18	368980	2952553	735213462909ae01e5d728aa33d428e3b02b6df6b283f22e0cb2968a9c453269
GEN	19	428095	3425474	199bc4a8fe1597b26a7dcfad778c3b4907842f06ae7bfa22fcecd255a4f6f8fe
GEN	20	225802	1807136	d1486af161438f0499968cdaefc550218ec57cbd232d243099aa9f0f7aafa86e
GEN	21	346044	2769069	6d2feacf03a096e54d2a1f1c85a1451e6c6479ed6f34a086efc7a41ca1d23451
GEN	22	287321	2299283	5188dcb92ac36e20245ce63a7845a45f928a861d5175b73d3665092ba52603ff
GEN	23	216477	1732530	4123e399f427c28cc0f6cf204b9bf40447c98bb3323defa80b3b1c8c7e775bd9
GEN	24	665417	5324054	f4cec153f8fafbefe1ac22406f865918e55bab65bd61f59a187e8ee1a0e5f923
GEN	25	371200	2970316	ef3fd6fb2386b85c6c410f0c8850b6b14917131073f6c4f2c5d091312fb5f084
GEN	26	386586	3093405	6e022d943e1d3bdfdf64fc3785393c7afb2fdc5dcd8c73c4c5f21856266cdb4b
GEN	27	546247	4370689	26eb555f54dfdd85056662ea22c11e46dbb88e5735320ba3295c1333298a05e9
GEN	28	272823	2183299	93340144012a2224773aaa8bbb617b60e05007a504b107273469f40a370a5e50
GEN	29	352026	2816925	69ce70067174846501016f189833440b16f84079cbb27ccc6e7657803f3d065c
GEN	30	426998	3416697	aa80ba67f7610988f0f4502974da95efe1d5d8064e10bb1ac207379db4c27274
GEN	31	551419	4412067	8eb1225d08d7fd44ee250e3dd9573a97c17fb90e4a715679cf92de14b4052337
GEN	32	348056	2785161	7a1906c40a33d8afffef0e66aa1f58e5c593fd2b4dfbcc49782d78259b8d7504
GEN	33	221649	1773908	194a16f31490c0b26a3029f419766b62099172d15a770bd1ca611912a3641819
GEN	34	323892	2591854	78e4f4d6e3abb18ee1a63c0ae19ad184c4847ce3c84cba0efa0d06e3b3ee2cf5
GEN	35	320549	2565105	e204973a1bb08d593b17542fa9cfd0c31721f47b12aad48e43088a063b68ed1a
GEN	36	500741	4006646	716151900122ca6201ed3e96fa2ba56bc1a69781cd72e87871d7a2f3407fd706
GEN	37	397349	3179505	01b9305dff45402ce518fd308390a0132c2b3fd9a9fea182254a9b28535f60bc
GEN	38	340036	2721004	13a1d8f1c248a3014d6de80fbad23e5994946cbecf90deb7b0ba9d88cb477f42
GEN	39	234867	1879652	c63bb1473a4fac84d229c96351e2708964d36fd80e7f7d4dffcb4b45df08ed89
GEN	40	224575	1797314	223eb4f47632816339031b4ec301ae8891c65000decb5d38dbc144cf59008d29
GEN	41	601940	4816233	da93259dcfba0780b6a5c1641ec2952dd5620412bdfb2f6af2c72c33b9ac89db
GEN	42	401162	3210016	42939488124d6fc7ca4805530aa5950c26df6ffbf4e3ab383b927ec4e8c9724d
GEN	43	367464	2940432	18404c32fb1aa53233f6d38107f198b5b633d9c8fda910f9ce46d273cbd7a6ee
GEN	44	341891	2735841	d7ad56e4b0858b86cd4f3a98f9c51a178d5e104bfa6789714db863d1f922f180
GEN	45	315220	2522473	ca8183cdc8cb5f7aeb6f5f6e343d32e68eb925ced34b3b918f7d06839e91be6c
GEN	46	431856	3455567	253da8b1cb3f5a94b127c942d409ab66721da24d8db7cac72c77aa60ded9b0d1
GEN	47	405969	3248468	ef08fede5bb80ccc570e88ce7a7f026b635de67679559c88472fba567b1a0d4c
GEN	48	324127	2593735	c44e9fa60a85158f02235db9db254782d70c485e4b40a3bdda719372396000e9
GEN	49	450769	3606868	0a662f0d9f863e4cb18da928eb762055b41b27e4443b3bcae46e7c9ef807960f
GEN	50	312607	2501575	3e7fa274afa553a07cdbb67376d001f0cc7b1c4f4449aea645606de3fb420a59
EXO	1	222798	1783100	57850cf6e7c4698a3acea9fe8b7d27ba097482f675b0b9fd99391ddc895cd6b8
EXO	2	281887	2255812	0cc3168d2ec68218eea20d104a4a39eaa8fcc9ec09cfe6c246c3b96453af4e3d
EXO	3	371592	2973448	71985ea3b36d9512553122987d185ac1b94c5bb782308dc130403b5c68fd032c
EXO	4	396095	3169471	403c5b5ba102ddfe6c07b9e17fdb4bdef80e7d23c41349965ea038e130d49aac
EXO	5	255791	2047042	a9a79d36a1eb2eda37fb0142f552a8960a139149ff35e978b4f5911a2e148e3f
EXO	6	398838	3191414	3198ac480b7141564cc5be801d6a91094091b5a25079debbc8c2c635420bbb6c
EXO	7	316944	2536263	9fd50a661e48dbd32b8b8096679b5461c2c8edbe23f7707ab04bea06aed7c2c6
EXO	8	428251	3426725	531a6b888c643a396bf25fe1260331c3c2e816e344b57750a70d3081758f7392
EXO	9	426423	3412096	13272fa6e1e836ed37cd8d8aa8891ffda226473890b5bfab30ec8c4f4cc27519
EXO	10	368692	2950253	b95cc7d21666957ae9cb5562c94e614e39c4116f215eacf9cf9d719a8e122e26
EXO	11	141035	1128996	82aaea91f3e4f0a30fa0ceabbb34e33627e0523449bae747a30ca867bf2fc55a
EXO	12	642795	5143076	2412b557a807a83aeb27a50612a03e41729eff2bc2acc697bedbcd2ce1136002
EXO	13	274155	2193956	0970d176b7e6de043f48fe36499a07c6a36f1df470dafedca10cc6d760b3d0ec
EXO	14	388258	3106779	00268cb438d25538b8b2209390705de2575bf370cfdd454317fce82ade100bcb
EXO	15	313783	2510978	3ec3eed7a37b4dd4d7ac8678958bf916ec7e7eb7cde06981ab665e35a97b464a
EXO	16	437891	3503840	6797b9eb8afee2d394921aee9a5d1122a3771b0eddfba022baab2323d44883c6
EXO	17	207491	1660640	9ea1769978270094621759994491d9219507b9f20261614c7748779fbb9dcf10
EXO	18	326818	2615259	760ee0e8b94bd290473ae4bec276590452b89de6283cf140aa71712594e313f1
EXO	19	312372	2499693	174ef22046792eb1364e503280b122ca8d6bf3860f46d5dfd8ec131b06871144
EXO	20	294400	2355915	004d547464f6b872d1746db3967913e07ab74e532af6d4fc7902f0058082be5d
EXO	21	777352	6219530	c3c41978ac5f7ff68d80d4c11398fddbe63e74af15c2317a2c7930a1624da9db
EXO	22	367961	2944402	bdcadacd9a8afc461466fa93de7fc5ce56344588d47d2d02ede7ddf207efc9d6
EXO	23	380761	3046802	589f03ba46e7ef0f2e25658dd245176481fd7c4b42a8f4789630a3551d77a6c0
EXO	24	202240	1618635	bb84501c4986d30b20b6d0f6a68763b2757d1b5e97ad86b5b0c4631744e8528f
EXO	25	406021	3248885	4803d9d554ebce89fc0d77d30dde62e16c43ba8c3a66cd2a1dfe0870352b0b55
EXO	26	418116	3345643	8774a4ea7f2c979b76c6917e3296696f049c1a1773d9d5af454adf6fbfabbeab
EXO	27	288967	2312448	276109b2a2ed8b919630818216339d1d1641e8d6b1d932b2b2d4b35b8324ccad
EXO	28	561006	4488761	9fe2ff3cc31be38869e7697fdb880ede237083f0530342fafd6f78017cd5e17d
EXO	29	616255	4930753	9ff57da268a6ac9d3866be7993a0bf658a64277b53da54b5c7eeb4d355d2994c
EXO	30	465032	3720970	3045cfb03d405fe20b4224957571951a2bb7568142706ad2d2fbfb34235f8a96
EXO	31	226743	1814658	18c760ca7e27be316c46f076446780a41cd898254e2f79790410865c2d265cb8
EXO	32	473496	3788680	60fe5d07a578cbd18628e9d5e2caec703e983ff049281c6c96e96fbe11578860
EXO	33	302524	2420908	2987f26e778903d3f50163cd8d73e8e6ea7bc8e37f6d9d170b8321196c8edf2b
EXO	34	457195	3658276	c929cb78960e6cc6b98818b78a33e08c93a0ce7dc1a51d25c206289db79579b9
EXO	35	382877	3063729	094009c981d5daee698df7c78f68de350fde2babaacb7c34b049b0ae87326045
EXO	36	398132	3185773	e0cf0d5d97479cc738ae27b9db7cd9fd189370870695b2aa9fc4ff4cda4d1064
EXO	37	305215	2442433	3c396d06b6bcf517e4b6d7f599cc8dc21c8c40ea2d45f9bcb918b40aaf46b859
EXO	38	355527	2844928	4512678b521d50ca63333faa98e9d579dd712e35d93c8dd1742302efebeee321
EXO	39	444500	3556712	c4d542715913ea005b52147ed99ebd6aa09c1fb1ac308c6662ad1033400094a1
EXO	40	327314	2619230	f1d780375125d9ed1186397082697b6d81f3574ae104ed615d28195223b969b1
LEV	1	220761	1766803	93248a999206a63fae123ca0d1a095cee8662a5384deb4628a4e188a19368ff6
LEV	2	215562	1725216	340e0d63e2ea2d467d48a0d872277a64e3fe1a9711c2a29121466eb12418a055
LEV	3	218723	1750503	b4560ea47b26f64bae7e67e6119aaecaa3ea9f3b60490c42ce486869ff7850b0
LEV	4	439484	3516589	3d74f89db46ece939b76855b6ae9a8e6efb4552609de25d37e0880ac661681d8
LEV	5	317623	2541699	f4ea92be4cd2ae66337ca35808a77eb24276dc4af8fa5c88cdaa646f4288a4a8
LEV	6	394109	3153592	b82b3934d5c0a999c76d44241a3519dff54dc2c8241f0ee762802911cb0d3a4b
LEV	7	480679	3846150	7313b9de2fd7ecc909383f99025163b81d393bc704424b96893ad6b72051dc94
LEV	8	389538	3117020	6b755640a50c118e8301421592f53e39baaacb09cd689d7997d5eba9f7d69d6a
LEV	9	268225	2146519	7af8080e8bf6701efc253e5b7a3cc71aa8fd3cf0c592ff7cc2076d51c4fa06fd
